date,plot,rowvs_interrow,best_flux_nmol_1m_2s_1,ts_2_mean,swc_2_mean,gnha_day,gnha_day_no_negative,row_id,year,treatment
2023-03-15,01,Interrow,0.2223,13.03,0.4223,5.3804553004799995,5.3804553004799995,1,2023,Corn
2023-03-15,01,Row,0.11477,11.465,0.42144,2.777844601152,2.777844601152,2,2023,Corn
2023-03-15,02,Interrow,-0.02153,11.25,0.49752999999999997,-0.521103025728,0,3,2023,Sorghum
2023-03-15,02,Row,0.01361,11.15167,0.497,0.329410691136,0.329410691136,4,2023,Sorghum
2023-03-15,03,Interrow,-0.00862,10.81333,0.31485,-0.2086348389119999,0,5,2023,Sorghum
2023-03-15,03,Row,0.1809,10.735,0.3955,4.37842718784,4.37842718784,6,2023,Sorghum
2023-03-15,04,Row,0.15957,9.45,0.4356,3.862164877632,3.862164877632,7,2023,Soy
2023-03-15,05,Interrow,0.0435,9.07167,0.50582,1.0528556256,1.0528556256,8,2023,Sorghum
2023-03-15,05,Row,0.05435,9.1775,0.5055,1.3154644425600002,1.3154644425600002,9,2023,Sorghum
2023-03-22,15,Row,0.13141,11.33667,0.41177,3.180592132416,3.180592132416,10,2023,Sorghum
2023-03-22,10,Interrow,0.05132,8.90917,0.487,1.242127602432,1.242127602432,11,2023,Soy
2023-03-22,10,Row,0.00825,7.44333,0.48961,0.1996795152,0.1996795152,12,2023,Soy
2023-03-22,05,Interrow,0.1206,6.51333,0.34817,2.91895145856,2.91895145856,13,2023,Sorghum
2023-03-22,05,Row,0.12064,6.23833,0.37088,2.919919601664,2.919919601664,14,2023,Sorghum
2023-03-22,04,Interrow,0.00346,6.065,0.40088,0.08374437849600001,0.08374437849600001,15,2023,Soy
2023-03-22,04,Row,0.33445,5.675,0.39875,8.09488652832,8.09488652832,16,2023,Soy
2023-03-22,09,Interrow,0.12618,5.6,0.42138,3.054007421568,3.054007421568,17,2023,Sorghum + Rye
2023-03-22,09,Row,0.07781,5.6,0.465,1.883280373056,1.883280373056,18,2023,Sorghum + Rye
2023-03-22,14,Interrow,-0.01008,5.39667,0.3581,-0.243972062208,0,19,2023,Corn
2023-03-22,14,Row,-0.00666,5.0225,0.355,-0.161195826816,0,20,2023,Corn
2023-03-22,13,Interrow,0.07143,4.975,0.42125,1.7288615479679996,1.7288615479679996,21,2023,Sorghum + Rye
2023-03-22,13,Row,-0.00683,4.61167,0.4195,-0.165310435008,0,22,2023,Sorghum + Rye
2023-03-22,08,Interrow,0.01382,4.39167,0.36462,0.334493442432,0.334493442432,23,2023,Corn
2023-03-22,08,Row,0.01607,4.69667,0.445,0.3889514920320001,0.3889514920320001,24,2023,Corn
2023-03-22,03,Interrow,0.0231,5.11,0.3586,0.55910264256,0.55910264256,25,2023,Sorghum
2023-03-22,03,Row,0.22916,5.3,0.42407,5.546491842816,5.546491842816,26,2023,Sorghum
2023-03-22,02,Interrow,-0.00702,5.47,0.4831,-0.16990911475200002,0,27,2023,Sorghum
2023-03-22,02,Row,0.01292,5.67167,0.481,0.31271022259200004,0.31271022259200004,28,2023,Sorghum
2023-03-22,07,Interrow,-0.00267,5.6425,0.44127,-0.06462355219200001,0,29,2023,Sorghum + Rye
2023-03-22,07,Row,0.02024,5.4,0.44,0.48988041062400006,0.48988041062400006,30,2023,Sorghum + Rye
2023-03-22,12,Interrow,2.9e-4,5.58667,0.3733,0.007019037504,0.007019037504,31,2023,Sorghum + Rye
2023-03-22,12,Row,0.0026,5.47167,0.37785,0.06292930176,0.06292930176,32,2023,Sorghum + Rye
2023-03-22,11,Interrow,-0.00368,5.5975,0.376,-0.08906916556800001,0,33,2023,Corn
2023-03-22,11,Row,0.02068,5.5,0.3745,0.500529984768,0.500529984768,34,2023,Corn
2023-03-22,06,Interrow,0.22073,6.25667,0.3876,5.342455683648001,5.342455683648001,35,2023,Soy
2023-03-22,06,Row,0.07261,6.67,0.3898,1.757421769536,1.757421769536,36,2023,Soy
2023-03-22,01,Interrow,0.00734,7.07167,0.43167,0.17765425958400002,0.17765425958400002,37,2023,Corn
2023-03-22,01,Row,0.05364,7.35333,0.431,1.2982799024640002,1.2982799024640002,38,2023,Corn
2023-03-29,15,Interrow,-0.04699,9.48403,0.23129,-1.137326111424,0,39,2023,Sorghum
2023-03-29,15,Row,-0.01827,8.1375,0.31567,-0.44219936275200006,0,40,2023,Sorghum
2023-03-29,10,Interrow,0.01733,2.08,0.285,0.4194479998080001,0.4194479998080001,41,2023,Soy
2023-03-29,10,Row,-0.00223,0.855,0.288,-0.053973978048,0,42,2023,Soy
2023-03-29,05,Interrow,0.01234,-0.66917,0.12296,0.298672147584,0.298672147584,43,2023,Sorghum
2023-03-29,05,Row,0.0811,-0.8,0.1265,1.9629101433600005,1.9629101433600005,44,2023,Sorghum
2023-03-29,04,Interrow,0.00572,-1.08833,0.13162,0.138444463872,0.138444463872,45,2023,Soy
